#n= 5, connectivity= 4, repetitions= 100
#n, time to compute arborescence, time for swapping in seconds
5, 0.004767, 0.039492
5, 0.002373, 0.040024
5, 0.003009, 0.042740
5, 0.004505, 0.042434
5, 0.003642, 0.046595
5, 0.003456, 0.040786
5, 0.003031, 0.040661
5, 0.003583, 0.041173
5, 0.003720, 0.041196
5, 0.002296, 0.042341
5, 0.003064, 0.044582
5, 0.003065, 0.044930
5, 0.003802, 0.044642
5, 0.003572, 0.043491
5, 0.003704, 0.043183
5, 0.003084, 0.046869
5, 0.003093, 0.048542
5, 0.003431, 0.042248
5, 0.003485, 0.046139
5, 0.003104, 0.044021
5, 0.003091, 0.048193
5, 0.003557, 0.045137
5, 0.003640, 0.044018
5, 0.004316, 0.043595
5, 0.003036, 0.044786
5, 0.003594, 0.044734
5, 0.003087, 0.044631
5, 0.006561, 0.046408
5, 0.003247, 0.044042
5, 0.002074, 0.044339
5, 0.003402, 0.043214
5, 0.004144, 0.045182
5, 0.004648, 0.044713
5, 0.004134, 0.042124
5, 0.004714, 0.040275
5, 0.005283, 0.042238
5, 0.004253, 0.042176
5, 0.003371, 0.039688
5, 0.003953, 0.039979
5, 0.003567, 0.041321
5, 0.004394, 0.042206
5, 0.003106, 0.043433
5, 0.003107, 0.040818
5, 0.004656, 0.040614
5, 0.003077, 0.042363
5, 0.003089, 0.042740
5, 0.003214, 0.041574
5, 0.003069, 0.043959
5, 0.004657, 0.042070
5, 0.002567, 0.041320
5, 0.002795, 0.042049
5, 0.004202, 0.039312
5, 0.003098, 0.039049
5, 0.006900, 0.059463
5, 0.003060, 0.047053
5, 0.003089, 0.044001
5, 0.003603, 0.045017
5, 0.003174, 0.041701
5, 0.003085, 0.039895
5, 0.003088, 0.038902
5, 0.030131, 0.042194
5, 0.003601, 0.042400
5, 0.003266, 0.043346
5, 0.002578, 0.041143
5, 0.004179, 0.040191
5, 0.003030, 0.041618
5, 0.003130, 0.045808
5, 0.003058, 0.042418
5, 0.003162, 0.040719
5, 0.003089, 0.039579
5, 0.005022, 0.038859
5, 0.003052, 0.039501
5, 0.003066, 0.041471
5, 0.002175, 0.040177
5, 0.003861, 0.039969
5, 0.004086, 0.039409
5, 0.003079, 0.041749
5, 0.002107, 0.040533
5, 0.002084, 0.040515
5, 0.002050, 0.040097
5, 0.004098, 0.039579
5, 0.003034, 0.042284
5, 0.003546, 0.044908
5, 0.003127, 0.043089
5, 0.002206, 0.043267
5, 0.003211, 0.041828
5, 0.003051, 0.044362
5, 0.003962, 0.048441
5, 0.003491, 0.050047
5, 0.004151, 0.045675
5, 0.003186, 0.045668
5, 0.003148, 0.045468
5, 0.003562, 0.043780
5, 0.003307, 0.041167
5, 0.002559, 0.042137
5, 0.003057, 0.045850
5, 0.003553, 0.045191
5, 0.002562, 0.043394
5, 0.003105, 0.046367
5, 0.003129, 0.043528
#n= 5, connectivity= 4, repetitions= 100
#n, time to compute arborescence, time for swapping in seconds
5, 0.003106, 0.037517
5, 0.002025, 0.038625
5, 0.004241, 0.038093
5, 0.002576, 0.039286
5, 0.002826, 0.040897
5, 0.003027, 0.038960
5, 0.004789, 0.039964
5, 0.004101, 0.041837
5, 0.003103, 0.037967
5, 0.002057, 0.037931
5, 0.002087, 0.038850
5, 0.003218, 0.040266
5, 0.003639, 0.039207
5, 0.002087, 0.040173
5, 0.003098, 0.038038
5, 0.002071, 0.044522
5, 0.003088, 0.045151
5, 0.004220, 0.046632
5, 0.004728, 0.049665
5, 0.003627, 0.046691
5, 0.003363, 0.047566
5, 0.007546, 0.056197
5, 0.004000, 0.048724
5, 0.004117, 0.047538
5, 0.003639, 0.049237
5, 0.003021, 0.049209
5, 0.002999, 0.045585
5, 0.003540, 0.051248
5, 0.004231, 0.049808
5, 0.004158, 0.051458
5, 0.004146, 0.047312
5, 0.003247, 0.045847
5, 0.003227, 0.040204
5, 0.003059, 0.041070
5, 0.003278, 0.041538
5, 0.003012, 0.040954
5, 0.003148, 0.039012
5, 0.003229, 0.041803
5, 0.002154, 0.038076
5, 0.002043, 0.040080
5, 0.003042, 0.040137
5, 0.003057, 0.039663
5, 0.002669, 0.040866
5, 0.002356, 0.041548
5, 0.003082, 0.040985
5, 0.002090, 0.039387
5, 0.003055, 0.039940
5, 0.003268, 0.038040
5, 0.004182, 0.039955
5, 0.003601, 0.040861
5, 0.003078, 0.039945
5, 0.003118, 0.039318
5, 0.004114, 0.039585
5, 0.003037, 0.038691
5, 0.004117, 0.040707
5, 0.003575, 0.041553
5, 0.003000, 0.039318
5, 0.003081, 0.041281
5, 0.003057, 0.039638
5, 0.003141, 0.040131
5, 0.030124, 0.039014
5, 0.003130, 0.041662
5, 0.002552, 0.040497
5, 0.003100, 0.040127
5, 0.003145, 0.039560
5, 0.003716, 0.039335
5, 0.004513, 0.039511
5, 0.003591, 0.042874
5, 0.003556, 0.041595
5, 0.003093, 0.042033
5, 0.003144, 0.041971
5, 0.003139, 0.040617
5, 0.003719, 0.044514
5, 0.004175, 0.056119
5, 0.003608, 0.056750
5, 0.005601, 0.052498
5, 0.003554, 0.054310
5, 0.003106, 0.055095
5, 0.003127, 0.046775
5, 0.003614, 0.043086
5, 0.004061, 0.044139
5, 0.004066, 0.046570
5, 0.003094, 0.044279
5, 0.004039, 0.043475
5, 0.003066, 0.043152
5, 0.003072, 0.052868
5, 0.002505, 0.052260
5, 0.003066, 0.052652
5, 0.003391, 0.050380
5, 0.003982, 0.052419
5, 0.003540, 0.053263
5, 0.003624, 0.073054
5, 0.005348, 0.053646
5, 0.005021, 0.047210
5, 0.003100, 0.117573
5, 0.005566, 0.063139
5, 0.003196, 0.052998
5, 0.003547, 0.045696
5, 0.003517, 0.046408
5, 0.002072, 0.042069
#n= 5, connectivity= 4, repetitions= 100
#n, time to compute arborescence, time for swapping in seconds
5, 0.004015, 0.043370
5, 0.003129, 0.042134
5, 0.004216, 0.044619
5, 0.003099, 0.041536
5, 0.003032, 0.040310
5, 0.003021, 0.042057
5, 0.004027, 0.044102
5, 0.003094, 0.039577
5, 0.003068, 0.042964
5, 0.002100, 0.041002
5, 0.003322, 0.041618
5, 0.003384, 0.043459
5, 0.003628, 0.039230
5, 0.003104, 0.038957
5, 0.003219, 0.039532
5, 0.003066, 0.037636
5, 0.029094, 0.049313
5, 0.004097, 0.034869
5, 0.002066, 0.039933
5, 0.002088, 0.037393
5, 0.003066, 0.040489
5, 0.003229, 0.043453
5, 0.003296, 0.039554
5, 0.003070, 0.036068
5, 0.004176, 0.038415
5, 0.004060, 0.039844
5, 0.003515, 0.042089
5, 0.004531, 0.035434
5, 0.004169, 0.042611
5, 0.003125, 0.043847
5, 0.003124, 0.038942
5, 0.004152, 0.039597
5, 0.004188, 0.043847
5, 0.002093, 0.041214
5, 0.003121, 0.037294
5, 0.002059, 0.041181
5, 0.003333, 0.045990
5, 0.003112, 0.038260
5, 0.002172, 0.046178
5, 0.003508, 0.038364
5, 0.004167, 0.044437
5, 0.003168, 0.041482
5, 0.004570, 0.043524
5, 0.003041, 0.043668
5, 0.002121, 0.039932
5, 0.003589, 0.041737
5, 0.003047, 0.043073
5, 0.002032, 0.039650
5, 0.004094, 0.042025
5, 0.004039, 0.039761
5, 0.004397, 0.040524
5, 0.002048, 0.040977
5, 0.003571, 0.043764
5, 0.003068, 0.040126
5, 0.003201, 0.042723
5, 0.002441, 0.043053
5, 0.003310, 0.039190
5, 0.002229, 0.038387
5, 0.004323, 0.044552
5, 0.003305, 0.038169
5, 0.026870, 0.040500
5, 0.004185, 0.040088
5, 0.004092, 0.042889
5, 0.002067, 0.038122
5, 0.003596, 0.043734
5, 0.003022, 0.047418
5, 0.002274, 0.043313
5, 0.003053, 0.040447
5, 0.003198, 0.041409
5, 0.005197, 0.040075
5, 0.004268, 0.039137
5, 0.003153, 0.043319
5, 0.002017, 0.040450
5, 0.002086, 0.041435
5, 0.003135, 0.038737
5, 0.003053, 0.041552
5, 0.003347, 0.040635
5, 0.002099, 0.043440
5, 0.004031, 0.039305
5, 0.004210, 0.038198
5, 0.003405, 0.041942
5, 0.003288, 0.040142
5, 0.002053, 0.038973
5, 0.005039, 0.037920
5, 0.037112, 0.045757
5, 0.004039, 0.039052
5, 0.004181, 0.036236
5, 0.003155, 0.035520
5, 0.003092, 0.040780
5, 0.002059, 0.041242
5, 0.003085, 0.042235
5, 0.002144, 0.040601
5, 0.004285, 0.035628
5, 0.006117, 0.038823
5, 0.003104, 0.041073
5, 0.003993, 0.043214
5, 0.002120, 0.035644
5, 0.003262, 0.036509
5, 0.003469, 0.038096
5, 0.003286, 0.036674
