#n= 8, connectivity= 7, repetitions= 100
#n, time to compute arborescence, time for swapping in seconds
8, 0.004246, 0.689531
8, 0.003029, 0.685163
8, 0.003209, 0.745950
8, 0.003355, 0.672558
8, 0.004181, 0.702992
8, 0.005237, 0.647531
8, 0.005086, 0.656978
8, 0.003032, 0.673494
8, 0.003083, 0.647261
8, 0.002287, 0.649894
8, 0.002046, 0.662993
8, 0.002106, 0.655890
8, 0.003046, 0.682387
8, 0.004050, 0.666895
8, 0.003058, 0.708735
8, 0.002046, 0.666276
8, 0.002119, 0.660655
8, 0.002264, 0.665723
8, 0.003057, 0.688427
8, 0.003565, 0.650512
8, 0.003160, 0.673818
8, 0.002035, 0.694027
8, 0.002162, 0.645601
8, 0.003344, 0.726679
8, 0.003574, 0.700863
8, 0.003040, 0.695419
8, 0.003093, 0.667907
8, 0.002072, 0.689315
8, 0.002074, 0.671363
8, 0.003311, 0.679063
8, 0.003124, 0.675644
8, 0.003245, 0.816541
8, 0.004203, 0.661248
8, 0.003389, 0.696574
8, 0.003199, 0.649428
8, 0.004490, 0.674535
8, 0.002121, 0.682096
8, 0.004711, 0.639342
8, 0.002485, 0.674188
8, 0.002127, 0.718997
8, 0.002090, 0.669126
8, 0.003171, 0.660704
8, 0.004725, 0.677192
8, 0.004124, 0.691184
8, 0.003232, 0.694637
8, 0.004306, 0.643088
8, 0.002456, 0.706931
8, 0.002551, 0.672250
8, 0.002309, 0.665271
8, 0.002186, 0.656954
8, 0.003206, 0.666019
8, 0.004008, 0.643217
8, 0.003469, 0.691017
8, 0.002081, 0.654886
8, 0.003077, 0.664070
8, 0.003049, 0.673795
8, 0.003137, 0.660154
8, 0.006217, 0.703553
8, 0.003001, 0.730494
8, 0.002009, 0.652051
8, 0.003464, 0.686116
8, 0.004354, 0.692661
8, 0.003042, 0.647237
8, 0.002035, 0.656454
8, 0.003101, 0.666924
8, 0.002029, 0.658993
8, 0.003566, 0.688704
8, 0.002234, 0.687463
8, 0.002060, 0.670662
8, 0.003047, 0.677992
8, 0.005405, 0.691555
8, 0.003019, 0.691504
8, 0.002080, 0.676558
8, 0.003102, 0.692079
8, 0.003234, 0.657292
8, 0.002248, 0.678278
8, 0.003508, 0.674846
8, 0.002066, 0.698100
8, 0.002102, 0.647082
8, 0.002200, 0.647228
8, 0.002168, 0.642728
8, 0.004054, 0.685275
8, 0.003148, 0.685139
8, 0.003000, 0.683730
8, 0.002040, 0.685366
8, 0.004078, 0.626638
8, 0.003114, 0.648968
8, 0.003110, 0.696636
8, 0.002120, 0.666250
8, 0.003440, 0.655417
8, 0.003088, 0.660886
8, 0.002055, 0.662929
8, 0.005908, 0.659217
8, 0.002074, 0.651148
8, 0.002326, 0.652721
8, 0.003730, 0.641252
8, 0.002999, 0.689751
8, 0.002387, 0.676825
8, 0.004086, 0.680220
8, 0.004044, 0.691610
