#n= 5, connectivity= 4, repetitions= 100
#n, time to compute arborescence, time for swapping in seconds
5, 0.003187, 0.036306
5, 0.004000, 0.038159
5, 0.002001, 0.037559
5, 0.002995, 0.035014
5, 0.003013, 0.036005
5, 0.002995, 0.036560
5, 0.003001, 0.035099
5, 0.003006, 0.038608
#n= 5, connectivity= 4, repetitions= 100
#n, time to compute arborescence, time for swapping in seconds
5, 0.003129, 0.037176
5, 0.002000, 0.036009
5, 0.003001, 0.035514
5, 0.004183, 0.038628
5, 0.001520, 0.036516
5, 0.002000, 0.035505
5, 0.003002, 0.037014
5, 0.002994, 0.034547
5, 0.002880, 0.035350
5, 0.004003, 0.036995
5, 0.003016, 0.035532
5, 0.004001, 0.035009
5, 0.003001, 0.036008
5, 0.003587, 0.036224
5, 0.004001, 0.037014
5, 0.002523, 0.035994
#n= 5, connectivity= 4, repetitions= 100
#n, time to compute arborescence, time for swapping in seconds
5, 0.002081, 0.038286
5, 0.003000, 0.039443
5, 0.004070, 0.036791
5, 0.003103, 0.038365
5, 0.002994, 0.036023
#n= 5, connectivity= 4, repetitions= 100
#n, time to compute arborescence, time for swapping in seconds
5, 0.003079, 0.036700
5, 0.003001, 0.037556
5, 0.003008, 0.038003
#n= 5, connectivity= 4, repetitions= 100
#n, time to compute arborescence, time for swapping in seconds
5, 0.003170, 0.036480
5, 0.002001, 0.037022
5, 0.002001, 0.037341
5, 0.003016, 0.037547
5, 0.004001, 0.034035
5, 0.003000, 0.035008
5, 0.003001, 0.036875
5, 0.003114, 0.037102
5, 0.003042, 0.035008
5, 0.004001, 0.036515
5, 0.003038, 0.034004
5, 0.003010, 0.037014
5, 0.003006, 0.036562
5, 0.003104, 0.034218
5, 0.003120, 0.040793
5, 0.003077, 0.037905
5, 0.003001, 0.037008
5, 0.002031, 0.038189
5, 0.003994, 0.036573
5, 0.003014, 0.035765
5, 0.002001, 0.038533
5, 0.003001, 0.037531
5, 0.002001, 0.038014
5, 0.003989, 0.035540
5, 0.003000, 0.035029
5, 0.003086, 0.037032
5, 0.003035, 0.034558
