#n= 5, connectivity= 4, repetitions= 100
#n, time to compute arborescence, time for swapping in seconds
5, 0.002394, 0.040148
5, 0.001038, 0.045123
5, 0.001008, 0.042785
5, 0.001025, 0.042809
5, 0.001001, 0.042350
5, 0.001025, 0.043995
5, 0.001008, 0.042198
5, 0.001055, 0.042866
5, 0.001001, 0.046430
5, 0.001006, 0.046913
5, 0.001032, 0.041378
5, 0.001008, 0.042547
5, 0.003025, 0.038312
5, 0.002077, 0.039614
5, 0.001033, 0.040349
5, 0.001052, 0.042868
5, 0.002014, 0.040728
5, 0.002031, 0.043744
5, 0.002136, 0.040786
5, 0.001041, 0.042813
5, 0.001170, 0.044346
5, 0.001010, 0.040708
5, 0.001025, 0.042595
5, 0.001013, 0.045190
5, 0.001036, 0.043900
5, 0.001020, 0.043915
5, 0.002022, 0.041521
5, 0.001410, 0.044162
5, 0.001028, 0.039357
5, 0.002547, 0.049442
5, 0.001025, 0.039699
5, 0.001038, 0.042570
5, 0.001008, 0.041413
5, 0.001033, 0.041453
5, 0.001213, 0.045142
5, 0.001041, 0.041817
5, 0.001032, 0.038743
5, 0.002069, 0.041156
5, 0.001008, 0.042235
5, 0.001066, 0.041126
5, 0.000000, 0.041902
5, 0.001006, 0.088463
5, 0.000995, 0.038862
5, 0.003036, 0.039167
5, 0.001000, 0.040781
5, 0.001275, 0.039769
5, 0.001020, 0.039241
5, 0.002111, 0.099480
5, 0.001079, 0.042308
5, 0.001018, 0.041393
5, 0.002089, 0.115569
5, 0.003152, 0.112438
5, 0.003599, 0.110157
5, 0.002452, 0.111623
5, 0.003475, 0.118884
5, 0.002089, 0.120416
5, 0.002175, 0.122230
5, 0.002218, 0.124017
5, 0.002500, 0.108646
5, 0.003131, 0.111905
5, 0.001014, 0.038616
5, 0.001054, 0.042033
5, 0.001264, 0.040190
5, 0.001188, 0.044332
5, 0.003103, 0.044462
5, 0.001185, 0.039444
5, 0.001068, 0.039741
5, 0.002080, 0.043406
5, 0.001370, 0.041073
5, 0.001132, 0.039462
5, 0.001014, 0.044639
5, 0.000000, 0.045197
5, 0.001052, 0.048392
5, 0.001029, 0.044429
5, 0.001014, 0.040796
5, 0.001048, 0.044530
5, 0.002149, 0.045234
5, 0.002057, 0.039397
5, 0.002143, 0.042166
5, 0.001030, 0.038701
5, 0.001043, 0.043980
5, 0.002562, 0.046453
5, 0.001173, 0.045667
5, 0.003062, 0.043403
5, 0.001032, 0.043336
5, 0.000000, 0.044148
5, 0.001090, 0.044593
5, 0.001057, 0.043633
5, 0.001025, 0.046345
5, 0.001050, 0.046730
5, 0.002038, 0.040731
5, 0.001058, 0.044586
5, 0.002063, 0.044997
5, 0.001269, 0.040894
5, 0.001408, 0.038045
5, 0.002025, 0.046260
5, 0.001014, 0.041473
5, 0.002139, 0.042384
5, 0.001034, 0.045623
5, 0.001037, 0.037437
