#n= 5, connectivity= 4, repetitions= 100
#n, time to compute arborescence, time for swapping in seconds
5, 0.002084, 0.067766
#n= 5, connectivity= 4, repetitions= 100
#n, time to compute arborescence, time for swapping in seconds
5, 0.003451, 0.066487
5, 0.003545, 0.067810
5, 0.004002, 0.067527
5, 0.003001, 0.069541
5, 0.002984, 0.067900
5, 0.004007, 0.065554
5, 0.003001, 0.067547
5, 0.004007, 0.066248
5, 0.002995, 0.066549
5, 0.003019, 0.064692
5, 0.003001, 0.066527
5, 0.003047, 0.074739
5, 0.003001, 0.066576
5, 0.003010, 0.064569
5, 0.003988, 0.066183
5, 0.003001, 0.066546
5, 0.002085, 0.066554
5, 0.003007, 0.067014
5, 0.002001, 0.068857
5, 0.002000, 0.068009
5, 0.003989, 0.066016
5, 0.002022, 0.066394
5, 0.002000, 0.066022
5, 0.003988, 0.064458
5, 0.002007, 0.067030
5, 0.002006, 0.064798
5, 0.003005, 0.066870
5, 0.003015, 0.067544
5, 0.002000, 0.069366
5, 0.003995, 0.066570
5, 0.002000, 0.067576
5, 0.003037, 0.069025
5, 0.003118, 0.066978
5, 0.003000, 0.066541
5, 0.002994, 0.066540
5, 0.003007, 0.067056
5, 0.002025, 0.066746
5, 0.003095, 0.067611
5, 0.003001, 0.065562
5, 0.003000, 0.068221
5, 0.003987, 0.065563
5, 0.003013, 0.065558
5, 0.002995, 0.066917
5, 0.003000, 0.068037
5, 0.003001, 0.068031
5, 0.001994, 0.068013
5, 0.003006, 0.066021
5, 0.004002, 0.065117
5, 0.003038, 0.068465
5, 0.002528, 0.067292
5, 0.003066, 0.098590
5, 0.003284, 0.069536
5, 0.002031, 0.064870
5, 0.003039, 0.067579
5, 0.003989, 0.065839
5, 0.001995, 0.065001
5, 0.003506, 0.070575
5, 0.002545, 0.065627
5, 0.003007, 0.066547
5, 0.003017, 0.067570
5, 0.003112, 0.066937
5, 0.003009, 0.067564
5, 0.002012, 0.070557
5, 0.002987, 0.065566
5, 0.002083, 0.066210
5, 0.004013, 0.068542
5, 0.002024, 0.066604
5, 0.002022, 0.064521
5, 0.003038, 0.066192
5, 0.003000, 0.064506
5, 0.003031, 0.067389
5, 0.002007, 0.066555
5, 0.003000, 0.064576
5, 0.004001, 0.068478
5, 0.003001, 0.066517
5, 0.003001, 0.066051
5, 0.002996, 0.065090
5, 0.003017, 0.064277
5, 0.002112, 0.066232
5, 0.004118, 0.066008
5, 0.003001, 0.065014
5, 0.002000, 0.071798
5, 0.002988, 0.066489
5, 0.003493, 0.069433
5, 0.003001, 0.065552
5, 0.003000, 0.066736
5, 0.002067, 0.067325
5, 0.002069, 0.065963
5, 0.003025, 0.068419
5, 0.002085, 0.068829
5, 0.002995, 0.066028
5, 0.002070, 0.067539
5, 0.002995, 0.067975
5, 0.002000, 0.067228
5, 0.001987, 0.066569
5, 0.003001, 0.064578
5, 0.002000, 0.065894
5, 0.003001, 0.066050
5, 0.003994, 0.067038
5, 0.002987, 0.068394
#n= 5, connectivity= 4, repetitions= 100
#n, time to compute arborescence, time for swapping in seconds
5, 0.002069, 0.071896
5, 0.002056, 0.073556
5, 0.003007, 0.069675
5, 0.002090, 0.068650
5, 0.002047, 0.070058
5, 0.003081, 0.067115
5, 0.002984, 0.068757
5, 0.003121, 0.068576
5, 0.003062, 0.068093
5, 0.003275, 0.069136
5, 0.004092, 0.070816
5, 0.003202, 0.068487
5, 0.002050, 0.067003
5, 0.002049, 0.067596
5, 0.002673, 0.066426
5, 0.003989, 0.066386
5, 0.002990, 0.069272
5, 0.003095, 0.063971
5, 0.003012, 0.068573
5, 0.003169, 0.071597
5, 0.004041, 0.069490
5, 0.004614, 0.075008
5, 0.003061, 0.067747
5, 0.004071, 0.067369
5, 0.003355, 0.068287
5, 0.002031, 0.069366
5, 0.003123, 0.068634
5, 0.004162, 0.069959
5, 0.003106, 0.064343
5, 0.003035, 0.068037
5, 0.003013, 0.067125
5, 0.002000, 0.065262
5, 0.003006, 0.067094
5, 0.002001, 0.068118
5, 0.003166, 0.067752
5, 0.002999, 0.068077
5, 0.003090, 0.069341
5, 0.003243, 0.066027
5, 0.003073, 0.066380
5, 0.002058, 0.065577
5, 0.003000, 0.065601
5, 0.003086, 0.064586
5, 0.003006, 0.069538
5, 0.002047, 0.067619
5, 0.003100, 0.073099
5, 0.003088, 0.066316
5, 0.003049, 0.069794
5, 0.003012, 0.068558
5, 0.003001, 0.067568
5, 0.002001, 0.065572
5, 0.003000, 0.068532
5, 0.003138, 0.128426
5, 0.003250, 0.069563
5, 0.003112, 0.067562
5, 0.002057, 0.071239
5, 0.003000, 0.066665
5, 0.002130, 0.068017
5, 0.003077, 0.069717
5, 0.003040, 0.065421
5, 0.002994, 0.066544
5, 0.002002, 0.068530
5, 0.003072, 0.066468
5, 0.002025, 0.067307
5, 0.002106, 0.064849
5, 0.003169, 0.065639
5, 0.003129, 0.065531
5, 0.002058, 0.070519
5, 0.003058, 0.066030
5, 0.002043, 0.066024
5, 0.002067, 0.067009
5, 0.002558, 0.064755
