nodes,algorithm,success_rate_mean,success_rate_std
10,Beacon Nodes,0.9960000000000001,0.014016265415670874
10,Global Controller,0.99475,0.017355187456365006
10,PrioList,0.998875,0.004771686006200808
10,Simple Decomposition,0.99875,0.006238914219069827
10,Super Trees,0.94625,0.17220369892673798
24,Beacon Nodes,0.998375,0.004889604058418376
24,Global Controller,0.9967499999999999,0.006115967894874794
24,PrioList,0.999375,0.0029094999352840246
24,Simple Decomposition,0.9994999999999999,0.0021932000780317397
24,Super Trees,0.9984999999999999,0.006384316225790059
50,Beacon Nodes,0.99975,0.001571099751887113
50,Global Controller,0.9966250000000001,0.006925233624903508
50,PrioList,0.99975,0.0022360679774997907
50,Simple Decomposition,0.99975,0.0015710997518871117
50,Super Trees,0.9875,0.1050798370378387
80,Beacon Nodes,0.999375,0.0024358867592311137
80,Global Controller,0.9960000000000001,0.0073948322701598585
80,PrioList,1.0,0.0
80,Simple Decomposition,0.999875,0.0011180339887499043
80,Super Trees,0.9994999999999999,0.0021932000780317583
100,Beacon Nodes,0.999875,0.0011180339887498954
100,Global Controller,0.9967499999999999,0.006516774848832802
100,PrioList,0.99975,0.0015710997518871058
100,Simple Decomposition,0.99975,0.0015710997518871032
100,Super Trees,0.999875,0.0011180339887498984
