nodes,algorithm,runtime_mean,runtime_std
10,Beacon Nodes,7.11660175,3.7966678126907194
10,Global Controller,7.10299975,2.64733436935777
10,PrioList,7.01656925,4.898236329581343
10,Simple Decomposition,7.055894500000001,5.9980437436673535
10,Super Trees,6.840591,2.3860113031723396
24,Beacon Nodes,30.159844250000003,8.652017851352202
24,Global Controller,31.577698249999997,9.586110386132104
24,PrioList,30.55409175,9.015200651745644
24,Simple Decomposition,29.549884000000002,7.139649273294744
24,Super Trees,31.40686475,9.799993330407043
50,Beacon Nodes,109.39383074999999,18.43837581388787
50,Global Controller,114.180847,20.444541208135945
50,PrioList,111.04184675,23.33254880489316
50,Simple Decomposition,110.68378425,20.520543920232296
50,Super Trees,112.57748224999999,21.925833964501937
80,Beacon Nodes,263.1140505,42.48205347885091
80,Global Controller,269.68581775,42.754561776638965
80,PrioList,262.3958885,40.64344184130062
80,Simple Decomposition,263.957606,42.857578545994386
80,Super Trees,266.49298600000003,41.75467764029997
100,Beacon Nodes,391.41797599999995,53.992679852860725
100,Global Controller,402.99323725,53.54640045975807
100,PrioList,391.91144549999996,56.61133070807892
100,Simple Decomposition,389.24823499999997,54.364400255956575
100,Super Trees,397.95421525,55.99224681941737
200,Beacon Nodes,1553.0226042499999,171.52016086230228
200,Global Controller,1586.700167,164.8793015158984
200,PrioList,1551.3975335000002,186.31938805258238
200,Simple Decomposition,1551.3383015,165.30728349681567
200,Super Trees,1585.077492,170.79671838093097
500,Beacon Nodes,10573.23328475,1091.4753226247942
500,Global Controller,10742.52274825,1120.0242762477128
500,PrioList,10608.287485249999,1105.1989782790556
500,Simple Decomposition,10621.613684749998,1132.7497218909061
500,Super Trees,10864.777853000001,1136.4760203544756
1000,Beacon Nodes,49356.6627615,5137.47229852913
1000,Global Controller,49936.201291749996,5288.403677611745
1000,PrioList,49270.048391749995,5116.564828722505
1000,Simple Decomposition,49393.80151925,5307.691043835063
1000,Super Trees,50571.138542,5240.569638143201
