nodes,algorithm,total_run_runtime_mean,total_run_runtime_std
10,Beacon Nodes,49.1922585,10.188516292096391
10,Global Controller,49.395087000000004,9.935783395671187
10,PrioList,46.93289675,11.521847800940376
10,Simple Decomposition,46.63967525,11.546551819596134
10,Super Trees,42.777536,11.156590402613302
24,Beacon Nodes,115.64772775,20.116039198467757
24,Global Controller,114.61036725,18.842175900180308
24,PrioList,110.44226474999999,19.079973318195176
24,Simple Decomposition,109.15974700000001,19.08616499810605
24,Super Trees,108.33233399999999,21.686533074055983
50,Beacon Nodes,279.05444,37.30781595613098
50,Global Controller,277.9888115,41.37047340118147
50,PrioList,269.9298895,44.254473900086346
50,Simple Decomposition,269.37516475,38.86179799638021
50,Super Trees,270.78180075,42.08370038256374
80,Beacon Nodes,536.7636729999999,72.89791357451267
80,Global Controller,529.9105555,73.97045873973798
80,PrioList,520.10444525,70.220582823774
80,Simple Decomposition,520.650881,71.60529421546634
80,Super Trees,523.432046,69.52006616415733
100,Beacon Nodes,732.92145225,90.68653762257395
100,Global Controller,720.8035145,88.80825841784292
100,PrioList,708.82904975,91.4521207782776
100,Simple Decomposition,707.7924830000001,89.07385897470469
100,Super Trees,717.7982335,90.99523691847342
200,Beacon Nodes,2300.490842,245.65516365127894
200,Global Controller,2261.8269995,231.11038117459975
200,PrioList,2257.33508175,255.67818571952873
200,Simple Decomposition,2257.6078165,234.16530276110404
200,Super Trees,2298.946754,238.59085712636502
500,Beacon Nodes,13026.1434035,1315.7502588907473
500,Global Controller,12813.817239999998,1308.869087986093
500,PrioList,12998.570540249999,1318.4125641294875
500,Simple Decomposition,13024.569767750001,1358.7712076000557
500,Super Trees,13222.1317695,1344.7140137928336
1000,Beacon Nodes,56122.648593,5696.013488307037
1000,Global Controller,55274.5807585,5745.122289994317
1000,PrioList,55997.437938999996,5676.813128463548
1000,Simple Decomposition,56186.303049250004,5911.799271588114
1000,Super Trees,57308.91549575,5797.9460659569795
