nodes,algorithm,runtime,total_run_runtime,success_rate,median_stretch,avg_depth
10,Beacon Nodes,3.7966678126907194,10.188516292096391,0.055970722744228305,0.10259020115699931,0.4003967925429684
10,Global Controller,2.64733436935777,9.935783395671187,0.05765987363469435,0.025,0.4003967925429684
10,PrioList,4.898236329581343,11.521847800940376,0.04458485756183959,0.0,0.4003967925429684
10,Simple Decomposition,5.9980437436673535,11.546551819596134,0.05049612878782286,0.025,0.4003967925429684
10,Super Trees,2.3860113031723396,11.156590402613302,0.1883869514688033,0.3485896216337729,1.3696090134137031
24,Beacon Nodes,8.652017851352202,20.116039198467757,0.041553291869151666,0.2669797660661231,0.8388700778540128
24,Global Controller,9.586110386132104,18.842175900180308,0.052685232364232594,0.25807449236416724,0.8388700778540128
24,PrioList,9.015200651745644,19.079973318195176,0.030187011099109227,0.22870111061161785,0.8388700778540128
24,Simple Decomposition,7.139649273294744,19.08616499810605,0.03046831626032768,0.18495664329715053,0.8388700778540128
24,Super Trees,9.799993330407043,21.686533074055983,0.11691262294341354,0.5366049404873089,2.8145154989330465
50,Beacon Nodes,18.43837581388787,37.30781595613098,0.024596543963275447,0.5283192601084157,1.2718368300634186
50,Global Controller,20.444541208135945,41.37047340118147,0.04578411118600788,0.5242012661359627,1.2718368300634186
50,PrioList,23.33254880489316,44.254473900086346,0.02162854270747623,0.4982173736216413,1.2718368300634186
50,Simple Decomposition,20.520543920232296,38.86179799638021,0.02088511359616728,0.5025997575514007,1.2718368300634186
50,Super Trees,21.925833964501937,42.08370038256374,0.0394414638759986,0.7355926122712699,4.156017280593463
80,Beacon Nodes,42.48205347885091,72.89791357451267,0.0214953366744247,0.5018371636767426,1.886170152613896
80,Global Controller,42.754561776638965,73.97045873973798,0.03795452198814221,0.5513696207142869,1.886170152613896
80,PrioList,40.64344184130062,70.220582823774,0.01811955561649755,0.41397123142934417,1.886170152613896
80,Simple Decomposition,42.857578545994386,71.60529421546634,0.018062114354010242,0.4722831549463892,1.886170152613896
80,Super Trees,41.75467764029997,69.52006616415733,0.03411236592164092,0.7503539265157438,4.645837196689671
100,Beacon Nodes,53.992679852860725,90.68653762257395,0.019291978932391055,0.5141344893925686,2.22553498116317
100,Global Controller,53.54640045975807,88.80825841784292,0.036353561773698126,0.5978436082704862,2.22553498116317
100,PrioList,56.61133070807892,91.4521207782776,0.01832590986639076,0.5047999554154781,2.22553498116317
100,Simple Decomposition,54.364400255956575,89.07385897470469,0.018328644877831122,0.4927020659734809,2.22553498116317
100,Super Trees,55.99224681941737,90.99523691847342,0.031508283511238126,0.7301079674337733,4.816328059574391
200,Beacon Nodes,171.52016086230228,245.65516365127894,0.017599537901201837,0.5653405720501715,3.4587777894788916
200,Global Controller,164.8793015158984,231.11038117459975,0.032584534363701574,0.6403699099379082,3.4587777894788916
200,PrioList,186.31938805258238,255.67818571952873,0.019052164244673497,0.576258565955503,3.4587777894788916
200,Simple Decomposition,165.30728349681567,234.16530276110404,0.017050051631934397,0.5699214539383017,3.4587777894788916
200,Super Trees,170.79671838093097,238.59085712636502,0.02860095122592198,0.6831197324937303,5.485512932290452
500,Beacon Nodes,1091.4753226247942,1315.7502588907473,0.01686181490839622,0.5500968244688625,5.472394694897459
500,Global Controller,1120.0242762477128,1308.869087986093,0.031189603289933972,0.7411930706096751,5.472394694897459
500,PrioList,1105.1989782790556,1318.4125641294875,0.018209980325597463,0.5865610664813851,5.472394694897459
500,Simple Decomposition,1132.7497218909061,1358.7712076000557,0.01805225983673601,0.5444870663418313,5.472394694897459
500,Super Trees,1136.4760203544756,1344.7140137928336,0.021845765463166522,0.6010524916713691,6.605873819738443
1000,Beacon Nodes,5137.47229852913,5696.013488307037,0.01862771737590495,0.5256574830378468,8.138010693352077
1000,Global Controller,5288.403677611745,5745.122289994317,0.03126568779161442,0.7519023492828995,8.138010693352077
1000,PrioList,5116.564828722505,5676.813128463548,0.016147735860905853,0.560365974219221,8.138010693352077
1000,Simple Decomposition,5307.691043835063,5911.799271588114,0.01741385888317141,0.5587633476676345,8.138010693352077
1000,Super Trees,5240.569638143201,5797.9460659569795,0.018236661277118146,0.5642658858861992,10.141094528975366
