nodes,algorithm,runtime,total_run_runtime,success_rate,median_stretch,avg_depth
10,Beacon Nodes,2.705453025865457,8.593301162349025,0.019537370876335797,0.1118033988749895,0.39155806915320657
10,Global Controller,8.043605485643196,14.775360831569001,0.023605405945956903,0.1911821982073446,0.39155806915320657
10,PrioList,3.429472270612077,15.002611899637262,0.021564959270873454,0.19118219820734464,0.39155806915320657
10,Simple Decomposition,3.905610679975409,12.436453085769891,0.02166342072407669,0.21932000780317515,0.39155806915320657
10,Super Trees,5.28974879238913,14.702068839631362,0.195774629858423,0.3018927632559766,1.4559217305346595
24,Beacon Nodes,12.124906998196373,32.63674065295354,0.0047667094506946665,0.0,0.71131786232726
24,Global Controller,15.931109199885276,21.33210767953028,0.007436439531885719,0.0,0.71131786232726
24,PrioList,8.981312678233763,25.193646560392672,0.0030914336520967787,0.0,0.71131786232726
24,Simple Decomposition,11.362120513671774,20.053592534322913,0.002650531353464071,0.0,0.71131786232726
24,Super Trees,11.465455448492532,32.10589714397251,0.1276079835604122,0.28434913465623,2.8606618248142106
50,Beacon Nodes,23.759651269491442,38.41219846212078,0.002435886759231116,0.05590169943749475,1.5221856163533118
50,Global Controller,24.16604497373522,46.69911879959819,0.00811214903865287,0.11180339887498947,1.5221856163533118
50,PrioList,21.907510624687788,47.48509473206008,0.0019118219820734549,0.0,1.5221856163533118
50,Simple Decomposition,16.887286569034174,33.4142359927825,0.0011180339887498904,0.0,1.5221856163533118
50,Super Trees,36.34169196484991,64.19229949926107,0.003091433652096772,0.29439650778748777,3.9126084325978043
80,Beacon Nodes,36.25211835232457,55.66746165146682,0.0015710997518871101,0.1118033988749895,1.867612027039959
80,Global Controller,44.44026966433688,53.165076376489374,0.008088709117645013,0.19118219820734464,1.867612027039959
80,PrioList,47.02200483195016,66.68669699727508,0.0024358867592311124,0.0,1.867612027039959
80,Simple Decomposition,41.60470604299348,63.36149518731829,0.001911821982073449,0.0,1.867612027039959
80,Super Trees,46.75031921768209,66.5817944633949,0.0015710997518871138,0.3372918955219798,4.28992324589802
100,Beacon Nodes,44.57093946446905,62.512876159454734,0.00191182198207345,0.1911821982073446,2.1609944821536997
100,Global Controller,44.19815466070295,69.4652089150347,0.005905371937610642,0.1911821982073446,2.1609944821536997
100,PrioList,51.824972333099794,71.18605511439469,0.0011180339887498945,0.0,2.1609944821536997
100,Simple Decomposition,61.031347190106246,87.49230013963941,0.001118033988749899,0.0,2.1609944821536997
100,Super Trees,56.46990786093001,68.82439308192478,0.0,0.33280548924392167,4.721981823532588
